orn_id,orn_glomerulus,level1_id,level1_type,level1_category,level2_id,level2_type,level2_category,level2_glomerulus,synapse_count_step1,synapse_count_step2
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940632197930,lLN1_bc,Local_Neuron,,1,29
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940626624275,lLN2P_c,Local_Neuron,,1,18
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940616079035,DL1_adPN,Projection_Neuron,,1,261
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940610669614,lLN2P_b,Local_Neuron,,1,51
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940644704160,lLN2X03,Local_Neuron,,1,50
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940606056905,lLN1_bc,Local_Neuron,,1,48
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940633938349,lLN1_bc,Local_Neuron,,1,33
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940630571052,lLN1_bc,Local_Neuron,,1,66
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940634034839,lLN1_bc,Local_Neuron,,1,27
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940619931119,lLN2X11,Local_Neuron,,1,13
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940611671506,lLN2X05,Local_Neuron,,1,12
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940633483807,lLN2T_e,Local_Neuron,,1,65
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940638128474,lLN2F_a,Local_Neuron,,1,21
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940621398254,lLN2X04,Local_Neuron,,1,41
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940630945335,lLN1_bc,Local_Neuron,,1,30
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940628914436,lLN2X12,Local_Neuron,,1,15
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940627690246,lLN2X03,Local_Neuron,,1,23
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940641606541,lLN1_bc,Local_Neuron,,1,19
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940631105580,lLN2P_a,Local_Neuron,,1,54
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940622368792,DL1_adPN,Projection_Neuron,,1,33
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940618757666,lLN2T_c,Local_Neuron,,1,71
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940620565313,lLN2X12,Local_Neuron,,1,11
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940617537570,lLN1_bc,Local_Neuron,,1,71
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940614944977,lLN2P_b,Local_Neuron,,1,34
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940612475598,lLN2P_a,Local_Neuron,,1,65
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940631975884,lLN2X12,Local_Neuron,,1,11
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940630183286,lLN1_bc,Local_Neuron,,1,30
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940616169578,lLN2T_b,Local_Neuron,,1,35
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940627927573,lLN2X04,Local_Neuron,,1,44
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940625251401,lLN2T_d,Local_Neuron,,1,15
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940640830453,lLN2X03,Local_Neuron,,1,24
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940631287912,lLN1_bc,Local_Neuron,,1,36
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940631423116,lLN1_a,Local_Neuron,,1,29
720575940631964371,ORN_DL5,720575940616079035,DL1_adPN,Projection_Neuron,720575940660217473,lLN2X11,Local_Neuron,,1,13
